Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
Z11111111,Individual,SPAXX**,HELD IN MONEY MARKET,,,,$5000.00,,,,,,,,Cash,
Z11111111,Individual,AAPL,APPLE INC,100,$220.00,+$1.00,$22000.00,+$100.00,+0.46%,+$4000.00,+22.22%,,$18000.00,$180.00,Cash,
Z11111111,Individual,MSFT,MICROSOFT CORP,50,$400.00,-$2.00,$20000.00,-$100.00,-0.50%,+$2500.00,+14.29%,,$17500.00,$350.00,Margin,
Z22222222,Roth IRA,MSFT,MICROSOFT CORP,25,$400.00,-$2.00,$10000.00,-$50.00,-0.50%,+$1000.00,+11.11%,,$9000.00,$360.00,Cash,
Z22222222,Roth IRA,VOO,VANGUARD S&P 500 ETF,40,$500.00,+$3.00,$20000.00,+$120.00,+0.60%,+$4000.00,+25.00%,,$16000.00,$400.00,Cash,
Z11111111,Individual,ETH/USD,ETHEREUM,1.5,$3000.00,+$50.00,$4500.00,+$75.00,+1.69%,+$1500.00,+50.00%,,$3000.00,$2000.00,Cash,
Z11111111,Individual, -AAPL260116C240,AAPL JAN 16 2026 $240 CALL,-1,$3.00,-$0.20,-$300.00,+$20.00,+6.25%,-$50.00,-20.00%,,$250.00,$2.50,Cash,
Z22222222,Roth IRA, -MSFT260320P360,MSFT MAR 20 2026 $360 PUT,-1,$5.00,+$0.10,-$500.00,-$10.00,-2.04%,-$50.00,-11.11%,,$450.00,$4.50,Cash,
Z22222222,Roth IRA, -VOO270115C520,VOO JAN 15 2027 $520 CALL,2,$10.00,+$0.50,$2000.00,+$100.00,+5.26%,+$400.00,+25.00%,,$1600.00,$8.00,Cash,
Z11111111,Individual,Pending activity,,,,,$25.00,,,,,,,,,

"The data and information in this spreadsheet is provided for informational purposes only. This is a synthetic sample and does not represent real holdings."
"Date downloaded Jan-15-2026 10:00 a.m ET"
